ID	adj.P.Val	P.Value	t	B	logFC	GB_ACC	SPOT_ID
16736628	0.000102	1.90e-09	9.02562673	10.40144	1.32	NM_003476	
16982921	0.000354	1.32e-08	8.16304081	8.87372	2.18		TCONS_00009856-XLOC_004270
16951191	0.000533	2.98e-08	7.81335362	8.21816	1.35	NM_005677	
16857068	0.000717	5.35e-08	7.56579104	7.74143	2.28	NM_170678	
16844294	0.000729	6.80e-08	7.46524695	7.54484	8.70e-01	NM_021724	
16939718	0.000869	9.72e-08	7.31662524	7.25115	1.46		ENST00000287777
16909775	0.000923	1.24e-07	7.21756448	7.05335	1.20		ENST00000363875
16909760	0.000923	1.38e-07	7.17282188	6.96347	8.85e-01	NM_212556	
16823255	0.000924	1.55e-07	7.12421166	6.86546	6.99e-01	NM_017885	
16679064	0.000975	1.82e-07	7.0588128	6.73298	6.04e-01	NM_001103	
16987076	0.001012	2.08e-07	7.00465074	6.62274	1.04		ENST00000384231
16883074	0.001226	2.74e-07	6.89136161	6.39063	1.06	NM_020184	
17103951	0.001734	5.06e-07	-6.64426376	5.87731	-9.66e-01	NM_022117	
16812685	0.001734	5.10e-07	6.64119089	5.87087	6.59e-01	NM_004839	
16954730	0.001734	5.16e-07	6.63689471	5.86186	9.16e-01	NM_007284	
16752542	0.001734	5.18e-07	6.63547266	5.85887	1.19	NM_001199629	
16757051	0.002334	7.40e-07	6.49259048	5.55758	2.06		TCONS_00021212-XLOC_009879
16947729	0.004991	1.68e-06	6.16938405	4.86503	9.54e-01		TCONS_00005645-XLOC_002906
17078028	0.005413	1.92e-06	6.11626654	4.74982	5.39e-01	NM_030958	
16803469	0.006316	2.36e-06	6.03575168	4.57447	9.84e-01	NM_018602	
17088230	0.00676	2.65e-06	5.99015757	4.4748	6.95e-01	NM_144488	
16961308	0.00726	2.98e-06	5.94420129	4.37406	4.50e-01		ENST00000470487
16945821	0.007615	3.30e-06	5.90467722	4.28722	9.02e-01	NM_023943	
16795390	0.007615	3.68e-06	5.86207437	4.1934	1.05		TCONS_00022814-XLOC_011087
